name,startdate,enddate,location_01,location_02
안면도 백사장 대하축제,2017-09-22,2017-10-22,충남,태안군
광양전어축제,2017-09-15,2017-09-17,전남,광양시
홍성 남당항 대하축제,2017-09-08,2017-09-24,충남,홍성군
명지 전어축제,2017-08-29,2017-08-31,부산,강서구
"청양고추, 구기자 축제",2018-09-07,2018-09-09,충남,청양군
순천 푸드·아트 페스티벌,2018-09-07,2018-09-09,전남,순천시
장수한우랑사과랑축제,2018-09-14,2018-09-16,전북,장수군
봉화송이축제,2018-09-29,2018-10-02,경북,봉화군
횡성한우축제,2018-10-05,2018-10-09,강원,횡성군
완주와일드푸드축제,2018-10-05,2018-10-07,전북,완주군
금산인삼축제,2018-10-05,2018-10-14,충남,금산군
임실N치즈축제,2018-10-06,2018-10-09,전북,임실군
논산강경젓갈축제,2018-10-10,2018-10-14,충남,논산시
이천쌀문화축제,2018-10-17,2018-10-21,경기,이천시
순창장류축제,2018-10-19,2018-10-21,전북,순창군
여주 오곡나루축제,2018-10-26,2018-10-28,경기,여주시
강릉세계겨울커피축제 재즈 프레소,2018-02-09,2018-02-25,강원,강릉시
파주장단콩축제,2017-11-24,2017-11-26,경기,파주시
청송도깨비사과축제,2017-11-03,2017-11-06,경북,청송군
김해 진영단감축제,2017-11-03,2017-11-05,경남,김해시
전주비빔밥축제,2017-10-26,2017-10-29,전북,전주시
경북영주 풍기인삼축제,2017-10-21,2017-10-29,경북,영주시
충주농산물 한마당 축제,2017-10-21,2017-10-22,충북,충주시
문경 사과축제,2017-10-14,2017-10-29,경북,문경시
보은대추축제,2017-10-13,2017-10-22,충북,보은군
양양송이축제,2017-09-29,2017-10-01,강원,양양군
문경 오미자축제,2017-09-15,2017-09-17,경북,문경시
얼음나라 화천산천어축제,2018-01-06,2018-01-28,강원,화천군
가평자라섬씽씽축제,2018-01-06,2018-02-18,경기,가평군
홍천강 인삼송어 축제,2018-01-05,2018-01-21,강원,홍천군
파주 송어 축제,2017-12-23,2018-02-18,경기,파주시
물맑은 양평빙어축제,2017-12-23,2018-02-18,경기,양평군
양평 대자연 빙어송어축제,2017-12-23,2018-02-18,경기,양평군
양평빙어축제,2017-12-23,2018-02-25,경기,양평군
물맑은 양평 산수유마을 빙어축제,2017-12-23,2018-02-18,경기,양평군
평창송어축제,2017-12-22,2018-02-25,강원,평창군
인제빙어축제,2018-01-27,2018-02-04,강원,인제군
강화빙어축제,2018-01-01,2018-02-24,인천,강화군
청평설빙송어빙어축제,2017-12-29,2018-02-25,경기,가평군
안성빙어축제,2017-12-23,2018-02-18,경기,안성시
청평 얼음꽃 송어 축제,2017-12-23,2018-02-25,경기,가평군
강화도 송어 빙어 축제,2017-12-23,2018-03-04,인천,강화군
양주송어축제,2017-12-22,2018-02-25,경기,양주시
강화도 빙어 송어 축제,2017-12-15,2018-02-28,인천,강화군
대관령 눈꽃축제,2018-02-07,2018-02-25,강원,평창군
태백산눈축제,2018-01-19,2018-02-11,강원,태백시
포천 백운계곡 동장군축제,2017-12-30,2018-01-28,경기,포천시
지리산 남원 바래봉 눈꽃축제,2017-12-30,2018-02-11,전북,남원시
부곡하와이 얼음조각축제,2016-12-24,2017-01-30,경남,창녕군
칠갑산얼음분수축제,2017-12-23,2018-02-18,충남,청양군
얼음나라 화천산천어축제,2018-01-06,2018-01-28,강원,화천군
가평자라섬씽씽축제,2018-01-06,2018-02-18,경기,가평군
홍천강 인삼송어 축제,2018-01-05,2018-01-21,강원,홍천군
파주 송어 축제,2017-12-23,2018-02-18,경기,파주시
물맑은 양평빙어축제,2017-12-23,2018-02-18,경기,양평군
양평 대자연 빙어송어축제,2017-12-23,2018-02-18,경기,양평군
양평빙어축제,2017-12-23,2018-02-25,경기,양평군
물맑은 양평 산수유마을 빙어축제,2017-12-23,2018-02-18,경기,양평군
평창송어축제,2017-12-22,2018-02-25,강원,평창군
인제빙어축제,2018-01-27,2018-02-04,강원,인제군
강화빙어축제,2018-01-01,2018-02-24,인천,강화군
청평설빙송어빙어축제,2017-12-29,2018-02-25,경기,가평군
안성빙어축제,2017-12-23,2018-02-18,경기,안성시
청평 얼음꽃 송어 축제,2017-12-23,2018-02-25,경기,가평군
강화도 송어 빙어 축제,2017-12-23,2018-03-04,인천,강화군
양주송어축제,2017-12-22,2018-02-25,경기,양주시
강화도 빙어 송어 축제,2017-12-15,2018-02-28,인천,강화군
얼음나라 화천산천어축제,2018-01-06,2018-01-28,강원,화천군
가평자라섬씽씽축제,2018-01-06,2018-02-18,경기,가평군
홍천강 인삼송어 축제,2018-01-05,2018-01-21,강원,홍천군
파주 송어 축제,2017-12-23,2018-02-18,경기,파주시
물맑은 양평빙어축제,2017-12-23,2018-02-18,경기,양평군
양평 대자연 빙어송어축제,2017-12-23,2018-02-18,경기,양평군
양평빙어축제,2017-12-23,2018-02-25,경기,양평군
물맑은 양평 산수유마을 빙어축제,2017-12-23,2018-02-18,경기,양평군
평창송어축제,2017-12-22,2018-02-25,강원,평창군
인제빙어축제,2018-01-27,2018-02-04,강원,인제군
강화빙어축제,2018-01-01,2018-02-24,인천,강화군
청평설빙송어빙어축제,2017-12-29,2018-02-25,경기,가평군
안성빙어축제,2017-12-23,2018-02-18,경기,안성시
청평 얼음꽃 송어 축제,2017-12-23,2018-02-25,경기,가평군
강화도 송어 빙어 축제,2017-12-23,2018-03-04,인천,강화군
양주송어축제,2017-12-22,2018-02-25,경기,양주시
강화도 빙어 송어 축제,2017-12-15,2018-02-28,인천,강화군
