,name,startdate,enddate,location_01,location_02
93,진도 신비의 바닷길 축제,2018-05-16,2018-05-19,전남,진도군
94,연등회,2018-05-11,2018-05-13,서울,종로구
95,대구 동성로축제,2018-05-11,2018-05-13,대구,중구
96,유성온천축제,2018-05-11,2018-05-13,대전,유성구
97,지용제,2018-05-10,2018-05-13,충북,옥천군
98,전주 한지문화축제,2018-05-05,2018-05-07,전북,전주시
99,부안 오복마실축제,2018-05-05,2018-05-07,전북,부안군
100,안산국제거리극축제,2018-05-05,2018-05-07,경기,안산시
101,여주도자기축제,2018-05-05,2018-05-22,경기,여주시
102,영주한국선비문화축제,2018-05-04,2018-05-07,경북,영주시
103,여수거북선축제,2018-05-04,2018-05-06,전남,여수시
104,울산옹기축제,2018-05-04,2018-05-07,울산,울주군
105,연천 구석기축제,2018-05-04,2018-05-07,경기,연천군
106,양평 용문산 산나물축제,2018-05-04,2018-05-13,경기,양평군
107,공주 석장리 세계구석기축제,2018-05-04,2018-05-07,충남,공주시
108,대구약령시한방문화축제,2018-05-03,2018-05-07,대구,중구
109,담양대나무축제,2018-05-02,2018-05-07,전남,담양군
110,부산 연등축제,2018-05-01,2018-05-13,부산,부산진구
111,문경전통찻사발축제,2018-04-28,2018-05-07,경북,문경시
112,이천도자기축제,2018-04-27,2018-05-13,경기,이천시
113,고창 청보리밭축제,2018-04-21,2018-05-13,전북,고창군
114,가파도청보리축제,2018-04-14,2018-05-14,제주,서귀포시
115,고령대가야체험축제,2018-04-12,2018-04-15,경북,고령군
116,기지시줄다리기 민속축제,2018-04-12,2018-04-15,충남,당진시
117,영암왕인문화축제,2018-04-05,2018-04-08,전남,영암군
118,제주들불축제,2018-03-01,2018-03-04,제주,제주시
119,서천 자연산 광어 도미 축제,2018-05-12,2018-05-27,충남,서천군
120,광안리어방축제,2018-04-27,2018-04-29,부산,수영구
121,기장 멸치축제,2018-04-19,2018-04-22,부산,기장군
122,논산딸기축제,2018-04-04,2018-04-08,충남,논산시
123,한려수도 굴축제,2018-03-31,2018-03-31,경남,통영시
124,영덕대게축제,2018-03-22,2018-03-25,경북,영덕군
125,서천 동백꽃 주꾸미축제,2018-03-17,2018-04-01,충남,서천군
126,무창포 신비의 바닷길 주꾸미·도다리 축제,2018-03-17,2018-04-08,충남,보령시
127,울진대게와 붉은대게축제,2018-03-01,2018-03-04,경북,울진군
128,홍성 남당항 새조개축제,2018-01-26,2018-02-11,충남,홍성군
129,양평딸기체험축제,2018-01-15,2018-05-31,경기,양평군
130,광주세계김치축제,2017-05-26,2017-12-10,광주,남구
131,원주 다이내믹댄싱카니발,2018-09-11,2018-09-16,강원,원주시
132,천안흥타령춤축제 (Cheonan World Dance Festival ),2018-09-12,2018-09-16,충남,천안시
133,파주 북소리,2018-09-14,2018-09-16,경기,파주시
134,안동국제탈춤페스티벌,2018-09-28,2018-10-07,경북,안동시
135,서귀포 칠십리축제,2018-09-28,2018-09-30,제주,서귀포시
136,산청한방약초축제,2018-09-29,2018-10-09,경남,산청군
137,진주남강유등축제,2018-10-01,2018-10-14,경남,진주시
138,안성맞춤 남사당 바우덕이축제,2018-10-02,2018-10-07,경기,안성시
139,대전 효문화뿌리축제,2018-10-05,2018-10-07,대전,중구
140,광주 추억의 충장축제,2018-10-05,2018-10-09,광주,동구
141,수원화성문화제,2018-10-05,2018-10-07,경기,수원시
142,김제지평선축제,2018-10-05,2018-10-09,전북,김제시
143,영동난계국악축제,2018-10-11,2018-10-14,충북,영동군
144,한성백제문화제,2018-10-11,2018-10-14,서울,송파구
145,서산해미읍성축제,2018-10-12,2018-10-14,충남,서산시
